id,tokens,slots,intent
train-00014,i need a flight from toronto to san diego with a layover in washington dc on air canada,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name B-stoploc.state_code O B-airline_name I-airline_name,atis_flight
train-00015,are there any flights from boston to san francisco which stop in washington dc,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name B-stoploc.state_code,atis_flight
train-00016,i need a flight on air canada from toronto to san diego with a layover in dc,O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.state_code,atis_flight
train-00017,what are the restrictions on the cheapest one way fare between boston and oakland,O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_restriction
train-00018,what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-fare_amount I-fare_amount,atis_restriction
train-00019,what's restriction ap68,O O B-restriction_code,atis_restriction
train-00020,list california airports,O B-state_name O,atis_airport
train-00021,what is the ground transportation available in fort worth texas,O O O O O O O B-city_name I-city_name B-state_name,atis_ground_service
train-00022,which airport is closest to ontario california,O O O B-mod O B-city_name B-state_name,atis_airport
train-00023,list california nevada arizona airports,O B-state_name B-state_name B-state_name O,atis_airport
train-00024,actually what are the nonstop flights from las vegas to burbank on saturday may twenty two,O O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number,atis_flight
train-00025,how many nonstop flights going from dallas to oakland july twenty seventh,O O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number,atis_quantity
train-00026,i would like an early morning nonstop flight from new york to las vegas on february twenty eighth,O O O O B-depart_time.period_of_day B-depart_time.period_of_day B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number,atis_flight
train-00027,show me a list of flights from boston to dc arriving before 9 am on july twenty second,O O O O O O O B-fromloc.city_name O B-toloc.state_code O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number,atis_flight
train-00028,is there a late afternoon flight leaving washington for denver,O O O B-depart_time.period_of_day I-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
train-00029,okay on tuesday june first i'd like to go from phoenix to detroit in the late afternoon,O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day I-depart_time.period_of_day,atis_flight
train-00030,i need a list of late afternoon flights from chicago to milwaukee,O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
train-00031,i need a list of late afternoon flights from st. louis to chicago,O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
train-00032,what flights are available from indianapolis to san diego on april twenty first in the late afternoon,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day I-depart_time.period_of_day,atis_flight
train-00033,what does ls stand for,O O B-meal_code O O,atis_abbreviation
train-00034,what does s designate as a meal,O O B-meal_code O O O B-meal,atis_abbreviation
train-00035,show me evening flights to baltimore,O O B-period_of_day O O B-toloc.city_name,atis_flight
train-00036,list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm,O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00037,list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm,O O B-flight_stop O O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00038,list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm,O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00039,list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm,O O B-flight_stop O O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00040,show me all of the daily flights arriving in denver between 8 pm and 9 pm,O O O O O B-flight_days O O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00041,list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am,O O B-airline_name I-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00042,i need a nonstop flight from atlanta to baltimore arriving between 5 pm and 730 pm,O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
train-00043,what flights leave charlotte north carolina and arrive in phoenix arizona on monday before 4 pm,O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O O O B-toloc.city_name B-toloc.state_name O B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
train-00044,i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis,O O O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name I-toloc.city_name O O O O O O B-stoploc.city_name I-stoploc.city_name,atis_flight
train-00045,flights from newark new jersey to cleveland ohio,O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name,atis_flight
train-00046,what flights do you have from newark new jersey to ontario california that connect in phoenix,O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-connect O B-stoploc.city_name,atis_flight
train-00047,flights from newark new jersey to cleveland,O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name,atis_flight
train-00048,show me the flights from newark new jersey to ontario international next saturday,O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
train-00049,flights from newark new jersey to minneapolis,O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name,atis_flight
train-00050,rental cars in washington dc,B-transport_type I-transport_type O B-city_name B-state_code,atis_ground_service
train-00051,i'll need to rent a car in washington dc,O O O O O B-transport_type O B-city_name B-state_code,atis_ground_service
train-00052,what sort of ground transportation is there in washington dc,O O O O O O O O B-city_name B-state_code,atis_ground_service
train-00053,show me airports near washington dc,O O O O B-city_name B-state_code,atis_airport
train-00054,show me airports in washington dc,O O O O B-city_name B-state_code,atis_airport
train-00055,fine can you give me information on ground transportation in washington dc to downtown,O O O O O O O O O O B-city_name B-state_code O O,atis_ground_service
train-00056,show me ground transportation in washington dc,O O O O O B-city_name B-state_code,atis_ground_service
train-00057,what flights are there available from philadelphia to denver on wednesday with economy class,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-economy I-economy,atis_flight
train-00058,can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,O O O O B-economy I-economy B-round_trip I-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_airfare
train-00059,how many fare codes belong to economy class,O O O O O O B-economy I-economy,atis_quantity
train-00060,what is the coach economy class night service from boston to san francisco,O O O B-class_type B-economy I-economy B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
train-00061,what flights are there from san francisco to philadelphia daily with economy class,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-flight_days O B-economy I-economy,atis_flight
train-00062,all flights from washington dc to san francisco after 5 pm on november twelfth economy class,O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy,atis_flight
train-00063,all flights from boston to washington dc after 5 pm on november eleventh economy class,O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy,atis_flight
train-00064,i want to know what flights you have available coach or economy class from baltimore to dallas,O O O O O O O O O B-class_type B-or B-economy I-economy O B-fromloc.city_name O B-toloc.city_name,atis_flight
train-00065,all flights from baltimore to atlanta between 1 o'clock and 3 o'clock in the afternoon,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O O B-depart_time.period_of_day,atis_flight
train-00066,list flights from atlanta to boston leaving between 6 pm and 10 pm on august eighth,O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.month_name B-depart_date.day_number,atis_flight
train-00067,display flights from dallas to atlanta which depart between 2 pm and 6 pm,O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00068,please show me the flights from denver to baltimore between 10 am and 2 pm,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00069,list all flights leaving denver between 8 pm and 9 pm,O O O O B-fromloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00070,what are the flights available between 10 am and 3 pm between pittsburgh and fort worth,O O O O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
train-00071,please show me flights from philadelphia to baltimore between 10 am and 2 pm,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00072,flights from denver to baltimore between 10 am and 2 pm,O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00073,are snacks served on tower air,O B-meal_description O O B-airline_name I-airline_name,atis_meal
train-00074,what types of meals are available,O O O B-meal O O,atis_meal
train-00075,are meals ever served on tower air,O B-meal O O O B-airline_name I-airline_name,atis_meal
train-00076,what are my meal options from boston to denver,O O O B-meal O O B-fromloc.city_name O B-toloc.city_name,atis_meal
train-00077,what meals are there on flight 382 from milwaukee to washington dc on tuesday morning,O B-meal O O O O B-flight_number O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name B-depart_time.period_of_day,atis_meal
train-00078,what are all the available meals,O O O O O B-meal,atis_meal
train-00079,do i get a meal on the atlanta to bwi flight eastern 210,O O O O B-meal O O B-fromloc.city_name O B-toloc.airport_code O B-airline_name B-flight_number,atis_meal
train-00080,show me all meals on flights from atlanta to washington,O O O B-meal O O O B-fromloc.city_name O B-toloc.city_name,atis_meal
train-00081,is there a meal on delta flight 852 from san francisco to dallas fort worth,O O O B-meal O B-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_meal
train-00082,find me the latest return flight from atlanta to boston on the same day,O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O O O B-return_date.date_relative,atis_flight
train-00083,how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta,O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-return_date.date_relative O O O O O O O O O B-toloc.city_name,atis_flight
train-00084,what flights can i take between boston and atlanta so that when i leave boston i will have the maximum amount of time on the ground in atlanta and still return in the same day,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-fromloc.city_name O O O O O O O O O O O O B-toloc.city_name O O O O O O B-return_date.date_relative,atis_flight
train-00085,find me the earliest flight from boston to atlanta and the latest return to boston on the same day,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-toloc.city_name O O O B-return_date.date_relative,atis_flight
train-00086,find me the earliest boston departure and the latest atlanta return trip so that i can be on the ground the maximum amount of time in atlanta and return to boston on the same day,O O O B-flight_mod B-fromloc.city_name O O O B-flight_mod B-fromloc.city_name O O O O O O O O O O O O O O O O B-toloc.city_name O O O B-toloc.city_name O O O B-return_date.date_relative,atis_flight
train-00087,i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O B-return_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O O O,atis_flight
train-00088,find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day,O O O B-flight_mod B-fromloc.city_name O O B-toloc.city_name O O B-flight_mod O O O B-fromloc.city_name O O O O O O B-toloc.city_name O O O O O O O O B-toloc.city_name O O B-return_date.date_relative,atis_flight
train-00089,i would like to fly from pittsburgh to atlanta on us air at the latest time possible in the evening,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-flight_mod I-flight_mod I-flight_mod O O B-depart_time.period_of_day,atis_flight
train-00090,list all day time flights from pittsburgh to boston,O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
train-00091,what is the earliest arriving flight between boston and washington dc,O O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code,atis_flight
train-00092,what's the earliest arriving flight between boston and washington dc,O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code,atis_flight
train-00093,coach fares only weekdays for denver to boston,B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,atis_airfare
train-00094,i'd like a red eye flight from new york to los angeles on saturday evening on us air,O O O B-flight_mod I-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-airline_name I-airline_name,atis_flight
train-00095,i need to take ten people from denver to phoenix please give me the flights during the week,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod I-flight_mod,atis_flight
train-00096,i need to take ten people from phoenix to san diego please give me the flights during week days,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-flight_mod I-flight_mod I-flight_mod,atis_flight
train-00097,what is the earliest arriving flight from boston to washington dc,O O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code,atis_flight
train-00098,what's the latest flight out of denver that arrives in pittsburgh next monday,O O B-flight_mod O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00099,what flights from salt lake city to new york city arrive next saturday before 6 pm,O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-arrive_date.date_relative B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
train-00100,what flights from kansas city to chicago arrive at chicago at 7 pm next wednesday,O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00101,what flights leave chicago and arrive in detroit around 6 pm next tuesday,O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00102,what are the flights that leave detroit and arrive in chicago around 7 pm next wednesday,O O O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00103,please find all the flights from cincinnati to any airport in the new york city area that arrive next saturday before 6 pm,O O O O O O B-fromloc.city_name O O O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O B-arrive_date.date_relative B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
train-00104,find flights arriving new york city next saturday,O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00105,all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday,O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00106,show me all the flights arriving in charlotte around 5 pm next monday please,O O O O O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name O,atis_flight
train-00107,explain the restriction ap 57,O O O B-restriction_code I-restriction_code,atis_abbreviation
train-00108,what does ap 20 mean,O O B-restriction_code I-restriction_code O,atis_abbreviation
train-00109,what is the ap 57 restriction,O O O B-restriction_code I-restriction_code O,atis_abbreviation
train-00110,what is restriction ap 57,O O O B-restriction_code I-restriction_code,atis_abbreviation
train-00111,what does restriction ap 57,O O O B-restriction_code I-restriction_code,atis_abbreviation
train-00112,explain the restriction ap 80,O O O B-restriction_code I-restriction_code,atis_abbreviation
train-00113,what does restriction ap 80 mean,O O O B-restriction_code I-restriction_code O,atis_abbreviation
train-00114,what does restriction ap 57 mean,O O O B-restriction_code I-restriction_code O,atis_abbreviation
train-00115,what are restrictions ap 57,O O O B-restriction_code I-restriction_code,atis_abbreviation
train-00116,is twa flight 497766 from st. petersburg to milwaukee with one stop available tomorrow morning,O B-airline_code O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_stop I-flight_stop O B-depart_date.today_relative B-depart_time.period_of_day,atis_flight
train-00117,what is the earliest flight that has no stops from washington to san francisco on friday,O O O B-flight_mod O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name,atis_flight
train-00118,is there one stop with the us air boston leaving at 705 to atlanta,O O B-flight_stop I-flight_stop O O B-airline_name I-airline_name B-toloc.city_name O O B-arrive_time.time O B-toloc.city_name,atis_flight
train-00119,list all flights from boston to san francisco with the maximum number of stops,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop,atis_flight
train-00120,i'd like to book an flight on american airlines from boston to san francisco with one stop in pittsburgh,O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name,atis_flight
train-00121,i want a flight from philadelphia to dallas that at least has one stop,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-mod O B-flight_stop I-flight_stop,atis_flight
train-00122,philadelphia to san francisco with one stop in dallas please,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name O,atis_flight
train-00123,is the american flight 813 from boston to oakland a flight that goes straight through from boston to oakland without stopping at another city,O O B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name O O O O O O O B-fromloc.city_name O B-toloc.city_name B-flight_stop I-flight_stop O O O,atis_flight
train-00124,show me the flights from philadelphia to dallas with one stop,O O O O O B-fromloc.city_name O B-toloc.city_name O B-flight_stop I-flight_stop,atis_flight
train-00125,show me the flights that go from san diego to newark with one stop in houston,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name,atis_flight
train-00126,i need a flight from atlanta to charlotte north carolina next monday,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
train-00127,list the cheapest one way flight from miami florida to charlotte north carolina,O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name,atis_flight
train-00128,what are the flights from st. louis to charlotte north carolina leaving on friday,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O O B-depart_date.day_name,atis_flight
train-00129,show me the flights from san diego to newark new jersey,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name,atis_flight
train-00130,i need to fly from atlanta to charlotte north carolina next monday,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
train-00131,wednesday morning flights between baltimore and newark new jersey,B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name,atis_flight
train-00132,tell me about flights from atlanta to charlotte north carolina leaving on monday and arriving in charlotte,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O O B-depart_date.day_name O O O B-toloc.city_name,atis_flight
train-00133,show me the flights that go from san diego to newark new jersey,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name,atis_flight
train-00134,show me the flights that go from san diego to newark new jersey by way of houston,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O O O B-stoploc.city_name,atis_flight
train-00135,give me the flights from memphis tennessee to charlotte north carolina,O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name,atis_flight
train-00136,are there any flights from pittsburgh to boston that leave between noon and 5 o'clock,O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00137,list all flights arriving or leaving denver between 8 and 9 pm,O O O O O O B-city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00138,show me the cheapest one way flights from pittsburgh to dallas leaving pittsburgh between noon and 2 pm,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00139,tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
train-00140,what airlines off from love field between 6 and 10 am on june sixth,O O O O B-fromloc.airport_name I-fromloc.airport_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.month_name B-depart_date.day_number,atis_airline
train-00141,show me the united flights from bwi to denver,O O O B-airline_name O O B-fromloc.airport_code O B-toloc.city_name,atis_flight
train-00142,flights from la guardia or jfk to cleveland,O O B-fromloc.airport_name I-fromloc.airport_name B-or B-fromloc.airport_code O B-toloc.city_name,atis_flight
train-00143,flights from jfk or la guardia to cleveland,O O B-fromloc.airport_code B-or B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name,atis_flight
train-00144,what city is the airport mco in,O O O O O B-fromloc.airport_code O,atis_city
train-00145,which airlines fly from bwi to dallas fort worth,O O O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_airline
train-00146,show me the first class and coach flights from jfk to miami,O O O B-class_type I-class_type O B-class_type O O B-fromloc.airport_code O B-toloc.city_name,atis_flight
train-00147,sfo to denver on monday november eleventh 1991,B-fromloc.airport_code O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number B-depart_date.year,atis_flight
train-00148,show me the first class and coach flights between jfk and orlando,O O O B-class_type I-class_type O B-class_type O O B-fromloc.airport_code O B-toloc.city_name,atis_flight
